ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date
Ścieżką przez las|0||0|6:00|6:30|0|2016-07-04
Plebania|12|Grzybowa widziała Krystynę z Markiem i dziewczynkami. Uważa, że kobieta szuka sobie kolejnego męża. Józefina ją zbywa. Kasia i Julka wybierają w Hrubielowie stroje na bal przebierańców.|Telenowela|6:30|8:15|22|2016-07-04
Co niesie dzień|0|Autorzy programu prezentują najaktualniejsze i najciekawsze informacje ze wszystkich regionów kraju oraz zapowiedzi najważniejszych wydarzeń, które odbędą się w ciągu dnia.|Magazyn|8:15|0|21|2016-07-04
Telekurier|12|Program zgłębia tematy niechętnie ujawniane, takie jak korupcja, łamanie prawa, przyzwolenie na przemoc. Promuje pozytywne postawy ludzkie - walkę z patologią oraz pomoc drugiemu człowiekowi.|Cykl reportaży|8:45|9:10|23|2016-07-04
Pogoda|0|Codzienny serwis informacyjny z prognozą pogody.|Pogoda|9:10|9:15|2|2016-07-04
Misja: integracja|7||0|9:15|9:35|0|2016-07-04
Było, nie minęło - kronika zwiadowców historii|7|Program prezentuje wydarzenia z historii Polski. Skierowany do młodego widza, eksploatuje najciekawszą stronę poszukiwań historycznych, porusza się w obszarze mało znanych tematów.|Program historyczny|9:35|10:05|23|2016-07-04
Co niesie dzień|0|Autorzy programu prezentują najaktualniejsze i najciekawsze informacje ze wszystkich regionów kraju oraz zapowiedzi najważniejszych wydarzeń, które odbędą się w ciągu dnia.|Magazyn|10:05|10:35|21|2016-07-04
Psi psycholog|0|Twórcy dokumentu odwiedzają miejsca, gdzie doszło do najtrudniejszych przypadków psiej i kociej niesubordynacji. Program przedstawia, jak prawidłowo postępować z czworonożnymi ulubieńcami.|Telenowela dokumentalna|10:35|11:05|25|2016-07-04
Przechodzień codzienny|7||0|11:05|11:15|0|2016-07-04
Jak to działa?|0|Drukarki trafiły do domów użytkowników wraz z komputerami. Kiedy technika drukowania obrazów została opanowana, przyszedł czas na drukowanie w trójwymiarze.|Program popularnonaukowy|11:15|11:45|24|2016-07-04
Kultowe rozmowy|12|Gośćmi programu są niezwykle wartościowi ludzie, których myśli i refleksje warte są upublicznienia. Których przeżycia warto poznać.|Rozmowa|11:45|12:15|23|2016-07-04
Okazja|12|Wiesiek dostaje od przewodniczącego propozycję działalności związanej z kulturą. Ponieważ ma spore braki w wykształceniu, bierze lekcje z teorii malarstwa u awangardowego artysty.|Serial komediowy|12:15|12:50|24|2016-07-04
Echa tygodnia|0||0|12:50|13:00|0|2016-07-04
Telezakupy|12|Magazyn reklamowy prezentujący artykuły gospodarstwa domowego, urządzenia do poprawy kondycji i zdrowia. Po zapoznaniu się z ofertą widzowie mogą telefonicznie zamówić wybrane towary.|Program reklamowy|13:00|13:20|15|2016-07-04
Dziennik regionów|0||0|13:20|13:25|0|2016-07-04
Pogoda|0|Codzienny serwis informacyjny z prognozą pogody.|Pogoda|13:25|13:30|2|2016-07-04
Agrobiznes|0|Dziennik informacyjny przeznaczony głównie dla biznesmenów pracujących w otoczeniu rolnictwa, rolników, handlowców, ale także dla mieszkańców miast.|Magazyn rolniczy|13:30|13:55|19|2016-07-04
Plebania|12|Krystyna żałuje, że umówiła się z wójtem. Zrobiła to na złość Markowi. Wójt przynosi jej kwiaty, oczekując od niej więcej niż tylko spotkania biznesowego. Kobieta próbuje się wykręcić.|Telenowela|13:55|14:25|22|2016-07-04
