ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date|channelNameURL
A Łódź i tak zostanie|12||0|5:50|0|0|2016-07-04|ale_kino
Sezon na Szekspira|12||Serial dokumentalny|8:00|9:10|55|2016-07-06|ale_kino
Ale krótkie po polsku|12||0|9:10|10:20|0|2016-07-06|ale_kino
Niebo nad Berlinem|12||Film obyczajowy|10:20|0|122|2016-07-06|ale_kino
Gra|12||Dramat kryminalny|12:40|14:55|118|2016-07-06|ale_kino
Ale krótkie po polsku|12||0|14:55|16:20|0|2016-07-06|ale_kino
Rosetta|12||0|16:20|18:10|0|2016-07-06|ale_kino
Tamara i mężczyźni|12||Komediodramat|18:10|20:10|106|2016-07-06|ale_kino
Wizyta inspektora|12||0|20:10|21:50|0|2016-07-06|ale_kino
Happy Valley|12||Serial kryminalny|21:50|22:55|51|2016-07-06|ale_kino
Happy Valley|12||Serial kryminalny|22:55|0:00|51|2016-07-06|ale_kino
Oczy mojego ojca|16||0|0:00|0:40|0|2016-07-06|ale_kino
Fargo|16||Serial kryminalny|0:40|1:40|47|2016-07-06|ale_kino
Dług|16||Film sensacyjny|1:40|3:20|97|2016-07-06|ale_kino
Nasza klątwa|16||0|3:20|3:50|0|2016-07-06|ale_kino
De facto|12||0|3:50|4:40|0|2016-07-06|ale_kino
Całe mnóstwo miłości|16||0|4:40|5:15|0|2016-07-06|ale_kino
Ameryka|16||0|5:15|5:50|0|2016-07-06|ale_kino
Anioł|12||0|5:50|0|0|2016-07-06|ale_kino
KAC|12||0|8:00|8:30|0|2016-07-03|ale_kino
Mleczny brat|12||0|8:30|9:15|0|2016-07-03|ale_kino
Wielka czerwona jedynka|12||Film wojenny|9:15|0|108|2016-07-03|ale_kino
Oczy mojego ojca|16||0|11:15|11:50|0|2016-07-03|ale_kino
Czterysta batów|12||Dramat obyczajowy|11:50|13:40|89|2016-07-03|ale_kino
Wizyta inspektora|12||0|13:40|15:25|0|2016-07-03|ale_kino
Czeski błąd|12||Dramat obyczajowy|15:25|17:15|104|2016-07-03|ale_kino
Dobry agent|12||Film sensacyjny|17:15|20:10|160|2016-07-03|ale_kino
Happy Valley|12||Serial kryminalny|20:10|21:25|51|2016-07-03|ale_kino
Happy Valley|12||Serial kryminalny|21:25|22:20|51|2016-07-03|ale_kino
Co jest grane, Davis?|12||Dramat obyczajowy|22:20|0:35|104|2016-07-03|ale_kino
Miasto ślepców|16||Thriller|0:35|2:35|116|2016-07-03|ale_kino
Zabicie ciotki|12||0|2:35|3:10|0|2016-07-03|ale_kino
Ameryka|16||0|3:10|3:45|0|2016-07-03|ale_kino
Egzekutor|16||Film sensacyjny|3:45|5:40|107|2016-07-03|ale_kino
Jedyne wyjście|12||0|5:40|0|0|2016-07-03|ale_kino
Kura|12||0|8:00|8:25|0|2016-07-02|ale_kino
Circus Maximus|12||0|8:25|9:15|0|2016-07-02|ale_kino
New York, New York|12||Musical|9:15|0|155|2016-07-02|ale_kino
Zawsze woda|12||Dramat obyczajowy|12:10|14:20|119|2016-07-02|ale_kino
Mężczyzna idealny|16||0|14:20|16:15|0|2016-07-02|ale_kino
Zjazd absolwentów|12||Dramat obyczajowy|16:15|18:00|88|2016-07-02|ale_kino
Wszystkie odloty Cheyenne'a|12||Komediodramat|18:00|20:10|113|2016-07-02|ale_kino
Listy z Iwo Jimy|16||Dramat wojenny|20:10|22:40|134|2016-07-02|ale_kino
Deadfall. W potrzasku|16||Thriller|22:40|0:30|95|2016-07-02|ale_kino
Nimfomanka|18||Dramat obyczajowy|0:30|2:25|112|2016-07-02|ale_kino
Moloch|16||0|2:25|3:00|0|2016-07-02|ale_kino
Mały palec|16||0|3:00|3:25|0|2016-07-02|ale_kino
Noc życia|16||0|3:25|4:00|0|2016-07-02|ale_kino
Zaklina|16||0|4:00|4:40|0|2016-07-02|ale_kino
Całe mnóstwo miłości|16||0|4:40|5:15|0|2016-07-02|ale_kino
De facto|12||0|5:15|0|0|2016-07-02|ale_kino
Pasztet|12||0|8:00|8:10|0|2016-07-01|ale_kino
De facto|12||0|8:10|9:10|0|2016-07-01|ale_kino
Historie miłosne|12||Dramat obyczajowy|9:10|0|83|2016-07-01|ale_kino
Pewnej nocy w Oslo|12||Melodramat|10:50|12:40|90|2016-07-01|ale_kino
Książę|12||0|12:40|14:05|0|2016-07-01|ale_kino
Sekrety i kłamstwa|12||Film psychologiczny|14:05|18:05|136|2016-07-01|ale_kino
Czeski błąd|12||Dramat obyczajowy|18:05|20:10|104|2016-07-01|ale_kino
Uznany za niewinnego|16||Film sensacyjny|20:10|22:25|127|2016-07-01|ale_kino
Blueberry|16||Western|22:25|0:40|118|2016-07-01|ale_kino
Tylko Bóg wybacza|18||Thriller|0:40|2:15|89|2016-07-01|ale_kino
Wulkan|12||0|2:15|2:35|0|2016-07-01|ale_kino
Mr. Bad Luck|12||0|2:35|3:05|0|2016-07-01|ale_kino
Moloch|16||0|3:05|3:45|0|2016-07-01|ale_kino
Mistyfikacja|16||Thriller|3:45|5:25|102|2016-07-01|ale_kino
Gorzko!|12||Film krótkometrażowy|5:25|5:50|19|2016-07-01|ale_kino
Anioł|12||0|5:50|0|0|2016-07-01|ale_kino
News Live|0||News|6:00|6:30|0|2016-07-06|al_jazeera
The Listening Post|0||News|6:30|7:00|0|2016-07-06|al_jazeera
The Slum|0||Documentary|7:00|0|0|2016-07-06|al_jazeera
News Live|0||News|8:00|8:30|0|2016-07-06|al_jazeera
Inside Story|0||News|8:30|9:00|0|2016-07-06|al_jazeera
News Live|0||News|9:00|9:30|0|2016-07-06|al_jazeera
The Stream|0||Information magazine|9:30|10:00|0|2016-07-06|al_jazeera
News Live|0||News|10:00|10:30|0|2016-07-06|al_jazeera
Africa Investigates|0||Documentary|10:30|11:00|0|2016-07-06|al_jazeera
Newshour|0||News|11:00|12:00|0|2016-07-06|al_jazeera
News Live|0||News|12:00|12:30|0|2016-07-06|al_jazeera
Inside Story|0||News|12:30|13:00|0|2016-07-06|al_jazeera
Al Jazeera World|0||Documentary|13:00|14:00|0|2016-07-06|al_jazeera
Newshour|0||News|14:00|15:00|0|2016-07-06|al_jazeera
News Live|0||News|15:00|15:30|0|2016-07-06|al_jazeera
The Stream|0||Information magazine|15:30|16:00|0|2016-07-06|al_jazeera
Newshour|0||News|16:00|17:00|0|2016-07-06|al_jazeera
News Live|0||News|17:00|17:30|0|2016-07-06|al_jazeera
Witness|0||Documentary|17:30|18:00|0|2016-07-06|al_jazeera
News Live|0||News|18:00|18:30|0|2016-07-06|al_jazeera
Inside Story|0||News|18:30|19:00|0|2016-07-06|al_jazeera
Newshour|0||News|19:00|20:00|0|2016-07-06|al_jazeera
News Live|0||News|20:00|20:30|0|2016-07-06|al_jazeera
The Stream|0||Information magazine|20:30|21:00|0|2016-07-06|al_jazeera
Witness|0||Documentary|21:00|22:00|0|2016-07-06|al_jazeera
Newshour|0||News|22:00|23:00|0|2016-07-06|al_jazeera
News Live|0||News|23:00|23:30|0|2016-07-06|al_jazeera
People & Power|0||People|23:30|0:00|0|2016-07-06|al_jazeera
Newshour|0||News|0:00|1:00|0|2016-07-06|al_jazeera
News Live|0||News|1:00|1:30|0|2016-07-06|al_jazeera
Inside Story|0||News|1:30|2:00|0|2016-07-06|al_jazeera
Al Jazeera World|0||Documentary|2:00|3:00|0|2016-07-06|al_jazeera
Newshour|0||News|3:00|4:00|0|2016-07-06|al_jazeera
News Live|0||News|4:00|4:30|0|2016-07-06|al_jazeera
Africa Investigates|0||Documentary|4:30|5:00|0|2016-07-06|al_jazeera
News Live|0||News|5:00|5:30|0|2016-07-06|al_jazeera
The Stream|0||Information magazine|5:30|0|0|2016-07-06|al_jazeera
News Live|0||News|6:00|6:30|0|2016-07-05|al_jazeera
Counting the Cost|0||Economy|6:30|7:00|0|2016-07-05|al_jazeera
Al Jazeera World|0||Documentary|7:00|0|0|2016-07-05|al_jazeera
News Live|0||News|8:00|8:30|0|2016-07-05|al_jazeera
Inside Story|0||News|8:30|9:00|0|2016-07-05|al_jazeera
News Live|0||News|9:00|9:30|0|2016-07-05|al_jazeera
The Stream|0||Information magazine|9:30|10:00|0|2016-07-05|al_jazeera
News Live|0||News|10:00|10:30|0|2016-07-05|al_jazeera
The Cure|0||Documentary|10:30|11:00|0|2016-07-05|al_jazeera
Newshour|0||News|11:00|12:00|0|2016-07-05|al_jazeera
News Live|0||News|12:00|12:30|0|2016-07-05|al_jazeera
Inside Story|0||News|12:30|13:00|0|2016-07-05|al_jazeera
Lifelines: the Quest For Global Health|0||Documentary|13:00|14:00|0|2016-07-05|al_jazeera
Newshour|0||News|14:00|15:00|0|2016-07-05|al_jazeera
News Live|0||News|15:00|15:30|0|2016-07-05|al_jazeera
The Stream|0||Information magazine|15:30|16:00|0|2016-07-05|al_jazeera
Newshour|0||News|16:00|17:00|0|2016-07-05|al_jazeera
News Live|0||News|17:00|17:30|0|2016-07-05|al_jazeera
Earthrise|0||Information magazine|17:30|18:00|0|2016-07-05|al_jazeera
News Live|0||News|18:00|18:30|0|2016-07-05|al_jazeera
Inside Story|0||News|18:30|19:00|0|2016-07-05|al_jazeera
Newshour|0||News|19:00|20:00|0|2016-07-05|al_jazeera
News Live|0||News|20:00|20:30|0|2016-07-05|al_jazeera
The Stream|0||Information magazine|20:30|21:00|0|2016-07-05|al_jazeera
Al Jazeera World|0||Documentary|21:00|22:00|0|2016-07-05|al_jazeera
